127.0.0.1 - - [11/Jul/2025:09:33:57 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%EB%9F%AC%EB%B8%8C%EC%BD%A4%EB%B3%B4%ED%8C%A8%ED%82%A4%EC%A7%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:17 +0900] "GET /movmov/resources/images/shop/%EA%B3%A8%EB%93%9C%ED%81%B4%EB%9E%98%EC%8A%A4%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:20 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8989
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:20 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EB%8F%8C%EB%B9%84%EC%8B%9C%EB%84%A4%EB%A7%88%20%EC%97%90%EB%94%94%EC%85%98%20%ED%8B%B0%EC%BC%93%EB%B6%81%20%EB%8B%A8%ED%92%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:25 +0900] "GET /movmov/pages/movie/movie-list.jsp HTTP/1.1" 200 16427
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:25 +0900] "GET /movmov/pages/movie/resources/images/common/favicon.ico HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:28 +0900] "GET /movmov/pages/community/community-main.jsp HTTP/1.1" 200 12344
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:28 +0900] "GET /movmov/resources/style/community/community-main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:30 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 12160
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/pages/shop/shop-list.jsp?cno=3 HTTP/1.1" 200 19384
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%ED%8F%AC%EC%8A%A4%ED%84%B0%EB%B6%81%20%EC%8B%9C%EC%A6%8C1%20A3%20%ED%8F%AC%EC%8A%A4%ED%84%B0%20%EB%B3%B4%EA%B4%80%ED%95%A8%20%EC%82%AC%EC%A7%84%20%EC%95%A8%EB%B2%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/UP%20%EC%A0%91%EC%B0%A9%EC%8B%9D%20%ED%8F%AC%ED%86%A0%EC%95%A8%EB%B2%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%ED%8B%B0%EC%BC%93%EB%B6%81%20%EC%8B%9C%EC%A6%8C3%20%EB%8B%A8%ED%92%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%ED%8B%B0%EC%BC%93%EB%B6%81%20%EB%B9%84%EB%8B%90%EC%86%8D%EC%A7%80%20%EB%8B%A8%ED%92%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/CGV%20%ED%8F%AC%EC%8A%A4%ED%84%B0%EB%B6%81%20%EC%86%8D%EC%A7%80(10%EB%A7%A4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%20%EB%9E%9C%EB%8D%A4%EC%B9%B4%EB%93%9C%20%EC%BD%9C%EB%A0%89%ED%8C%85%20%EB%B6%81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/CGV%20TTT%20%EC%BD%9C%EB%A0%89%ED%8C%85%EB%B6%81%20%EC%86%8D%EC%A7%80%20PVC%20(10%EB%A7%A4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/CGV%20%ED%95%84%EB%A6%84%EB%A7%88%ED%81%AC%EB%B6%81%20%EC%BB%A4%EB%B2%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%ED%97%A4%EC%96%B4%EC%A7%88%20%EA%B2%B0%EC%8B%AC%20%ED%8D%BC%EC%A6%90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EC%98%81%ED%99%94%20%EC%8A%B9%EB%B6%80%20%EA%B5%BF%EC%A6%88%ED%8C%A8%ED%82%A4%EC%A7%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%ED%97%A4%EC%96%B4%EC%A7%88%20%EA%B2%B0%EC%8B%AC%20%EC%BF%A0%EC%85%98-%EB%B0%94%EB%8B%A4,%EB%B2%BD%EC%A7%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EC%98%81%ED%99%94%20%EC%95%BC%EB%8B%B9%20%EA%B5%BF%EC%A6%88%ED%8C%A8%ED%82%A4%EC%A7%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/CGV%20%EC%94%A8%EB%84%A4%EC%83%B5%20%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%20%EC%8A%A4%EC%9B%A8%ED%8A%B8%EC%85%94%EC%B8%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%20%EC%83%9D%EC%9D%BC%20%ED%8C%8C%EC%9A%B0%EC%B9%98%20%ED%82%A4%EB%A7%81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%EB%A7%88%EC%9D%B8%ED%81%AC%EB%9E%98%ED%94%84%ED%8A%B8%20%EB%9E%9C%EB%8D%A4%20%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%8A%A4%EB%B3%BC%201%EC%A2%85.jpg HTTP/1.1" 200 105248
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:32 +0900] "GET /movmov/resources/images/shop/%EB%94%94%EC%A6%88%EB%8B%88%20A3%20%ED%8F%AC%EC%8A%A4%ED%84%B0%2013%EC%A2%85%20%EC%98%81%ED%99%94%20%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%EC%85%98%20%ED%83%9D%201.jpg HTTP/1.1" 200 116801
0:0:0:0:0:0:0:1 - - [11/Jul/2025:09:34:38 +0900] "GET /movmov/pages/shop/shop-list.jsp?cno=1 HTTP/1.1" 200 13986
