127.0.0.1 - - [15/Apr/2025:09:22:49 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:23:03 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15696
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:23:03 +0900] "GET /bookstore/resources/images/covers/cover5.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:23:03 +0900] "GET /bookstore/resources/images/covers/cover15.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:23:03 +0900] "GET /bookstore/resources/images/covers/cover3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:23:03 +0900] "GET /bookstore/resources/images/covers/cover14.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:23:03 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:23:08 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 11080
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:34:07 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 10936
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:34:07 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:34:17 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:34:17 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:34:19 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 11214
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:30 +0900] "GET /bookstore/list.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:46 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:46 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:48 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9812
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:51 +0900] "GET /bookstore/book/cart.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:56 +0900] "GET /bookstore/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:56 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:42:57 +0900] "GET /bookstore/book-detail.html HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:43:02 +0900] "GET /bookstore/book-detail.html HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:43:08 +0900] "GET /bookstore/book-detail.html HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:44:13 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:44:14 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:11:44 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:11:44 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:11:51 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:11:51 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:11:55 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:11:58 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9812
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:12:00 +0900] "GET /bookstore/book/cart.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:12:57 +0900] "GET /bookstore/book/cart.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:13:08 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9850
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:13:10 +0900] "GET /bookstore/book/cart-add.jsp?bno=100003 HTTP/1.1" 500 8936
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:13:59 +0900] "GET /bookstore/book/cart-add.jsp?bno=100003 HTTP/1.1" 500 8936
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:14:01 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9850
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:14:05 +0900] "GET /bookstore/book/cart-add.jsp?bno=100003 HTTP/1.1" 500 9269
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:02 +0900] "GET /bookstore/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:02 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:10 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:10 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:11 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:12 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9850
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:13 +0900] "GET /bookstore/book/cart-add.jsp?bno=100003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:16:13 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 11214
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:25:29 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 500 2560
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:25:54 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:25:54 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:26:03 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:26:03 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:26:07 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 9681
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:43:04 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:43:12 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:43:12 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:43:13 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:45:02 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:45:48 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:45:49 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:45:50 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [15/Apr/2025:12:45:55 +0900] "GET /bookstore/logout.jsp HTTP/1.1" 302 -
