127.0.0.1 - - [04/Apr/2025:09:20:24 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [04/Apr/2025:09:20:43 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [04/Apr/2025:09:20:48 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [04/Apr/2025:09:21:35 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [04/Apr/2025:09:28:22 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [04/Apr/2025:09:30:02 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [04/Apr/2025:09:30:07 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [04/Apr/2025:09:35:25 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:09:06 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:09:37 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:09:39 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:11:01 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 2889
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:11:13 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 2890
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:11:40 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 2890
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:12:04 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 6665
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:13:13 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:13:24 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 6665
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:14:51 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:16:02 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 6675
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:17:06 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:17:47 +0900] "POST /web/book/add.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:17:47 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:50:42 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:50:52 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:51:05 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 6900
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:51:48 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:51:49 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:51:50 +0900] "POST /web/book/add.jsp HTTP/1.1" 500 2685
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:52:20 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:52:41 +0900] "GET /web/book/list.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [04/Apr/2025:11:52:42 +0900] "GET /web/book/form.jsp HTTP/1.1" 200 2459
