127.0.0.1 - - [08/Apr/2025:12:31:39 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:31:54 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:50:10 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 9321
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:51:04 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 9321
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:52:11 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 10469
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:52:13 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 10469
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:52:29 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 10469
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:53:44 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 10469
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:53:46 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 10469
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:53:47 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 10469
0:0:0:0:0:0:0:1 - - [08/Apr/2025:12:54:00 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [08/Apr/2025:14:19:59 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 9611
0:0:0:0:0:0:0:1 - - [08/Apr/2025:14:20:00 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 4498
0:0:0:0:0:0:0:1 - - [08/Apr/2025:14:21:54 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 4498
0:0:0:0:0:0:0:1 - - [08/Apr/2025:14:21:55 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 4498
0:0:0:0:0:0:0:1 - - [08/Apr/2025:15:29:57 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 9611
0:0:0:0:0:0:0:1 - - [08/Apr/2025:15:31:16 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 500 4498
0:0:0:0:0:0:0:1 - - [08/Apr/2025:15:31:19 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:08:06 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:08:09 +0900] "GET /mybatis/board/detail.jsp?no=10006 HTTP/1.1" 500 10431
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:08:51 +0900] "GET /mybatis/board/detail.jsp?no=10006 HTTP/1.1" 500 2899
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:09:47 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:09:48 +0900] "GET /mybatis/board/detail.jsp?no=10006 HTTP/1.1" 500 2899
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:09:50 +0900] "GET /mybatis/board/detail.jsp?no=10002 HTTP/1.1" 500 2899
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:10:34 +0900] "GET /mybatis/board/detail.jsp?no=10002 HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:10:42 +0900] "GET /mybatis/board/detail.jsp?no=10006 HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:10:45 +0900] "GET /mybatis/board/detail.jsp?no=10006 HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:12:52 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [08/Apr/2025:16:12:54 +0900] "GET /mybatis/board/detail.jsp?no=10006 HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [08/Apr/2025:17:05:01 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [08/Apr/2025:17:05:03 +0900] "GET /mybatis/board/form.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [08/Apr/2025:17:05:07 +0900] "POST /mybatis/board/add.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2025:17:05:07 +0900] "GET /mybatis/board/list.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [08/Apr/2025:17:05:10 +0900] "GET /mybatis/board/detail.jsp?no=10007 HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [08/Apr/2025:17:05:14 +0900] "GET /mybatis/board/detail.jsp?no=10007 HTTP/1.1" 200 1666
