127.0.0.1 - - [17/Apr/2025:09:20:45 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:20:48 +0900] "GET /bookstore/order/form.jsp HTTP/1.1" 200 21755
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:20:49 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:07 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:07 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:07 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:13 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:13 +0900] "GET /bookstore/resources/images/covers/cover3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:13 +0900] "GET /bookstore/resources/images/covers/cover14.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:13 +0900] "GET /bookstore/resources/images/covers/cover15.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:13 +0900] "GET /bookstore/resources/images/covers/cover5.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:21:15 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9850
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:27:26 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:27:27 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22033
0:0:0:0:0:0:0:1 - - [17/Apr/2025:09:27:27 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:45:56 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 500 2886
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:46:44 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:46:52 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:46:52 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:46:55 +0900] "GET /bookstore/user/my-page.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:46:59 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:47:02 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:47:03 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 500 2886
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:48:11 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:48:14 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:48:16 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:48:18 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [17/Apr/2025:10:48:18 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:08:13 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21344
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:08:13 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:09:03 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21348
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:09:03 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:09:04 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21348
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:09:04 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:09:19 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:11:00 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22007
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:11:00 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:11:47 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22005
0:0:0:0:0:0:0:1 - - [17/Apr/2025:11:11:47 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:13:48:38 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:16:49 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:16:49 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:16:58 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:16:58 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:17:38 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:17:44 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:17:53 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:25:43 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:36:15 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:36:17 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:36:38 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:36:39 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22305
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:36:39 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:45:13 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22662
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:45:13 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:15:45:14 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:07:00 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:16 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21451
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:16 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:18 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21451
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:18 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:21 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21451
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:21 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:24 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:29 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:30 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:31 +0900] "GET /bookstore/book/detail.jsp?bno=100003 HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:32 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21451
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:32 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:20:35 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:29:44 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 21521
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:29:44 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:29:47 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:30:09 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:37:10 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22039
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:37:10 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:37:12 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:52:17 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22910
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:52:17 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:52:19 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:56:53 +0900] "GET /bookstore/order/form.jsp?bno=100003 HTTP/1.1" 200 22944
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:56:53 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:56:55 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:16:57:00 +0900] "GET /bookstore/order/address.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [17/Apr/2025:17:05:08 +0900] "GET /bookstore/order/resources/css/styles.css HTTP/1.1" 404 864
