127.0.0.1 - - [23/Apr/2025:10:59:05 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:17 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:17 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:39 +0900] "GET /semiproject/movmov/html/page.html HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:39 +0900] "GET /semiproject/movmov/style/watcha.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:39 +0900] "GET /semiproject/movmov/html/images/default-profile.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:39 +0900] "GET /semiproject/movmov/resources/logo-primary.png HTTP/1.1" 200 55142
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:43 +0900] "GET /semiproject/movmov/html/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:43 +0900] "GET /semiproject/movmov/style/watcha.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:43 +0900] "GET /semiproject/movmov/html/images/default-profile.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:44 +0900] "GET /semiproject/movmov/html/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:44 +0900] "GET /semiproject/movmov/style/watcha.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Apr/2025:10:59:44 +0900] "GET /semiproject/movmov/html/images/default-profile.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:01:59 +0900] "GET /semiproject/movmov/html/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:01:59 +0900] "GET /semiproject/movmov/html/images/default-profile.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:01:59 +0900] "GET /semiproject/movmov/style/watcha.css HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:02:05 +0900] "GET /semiproject/movmov/html/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:02:05 +0900] "GET /semiproject/movmov/style/watcha.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:02:05 +0900] "GET /semiproject/movmov/html/images/default-profile.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:03:20 +0900] "GET /semiproject/movmov/html/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:03:20 +0900] "GET /semiproject/movmov/html/images/default-profile.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [23/Apr/2025:11:03:20 +0900] "GET /semiproject/movmov/style/watcha.css HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [23/Apr/2025:14:05:47 +0900] "GET /semiproject/movmov/html/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:14:05:47 +0900] "GET /semiproject/movmov/style/watcha.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:14:05:47 +0900] "GET /semiproject/movmov/resources/logo-primary.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2025:14:05:47 +0900] "GET /semiproject/movmov/html/images/default-profile.png HTTP/1.1" 404 874
