0:0:0:0:0:0:0:1 - - [13/May/2025:09:38:48 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9457
0:0:0:0:0:0:0:1 - - [13/May/2025:09:39:39 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9431
0:0:0:0:0:0:0:1 - - [13/May/2025:09:48:43 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9460
0:0:0:0:0:0:0:1 - - [13/May/2025:09:48:46 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9460
0:0:0:0:0:0:0:1 - - [13/May/2025:09:49:48 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9484
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:33 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:38 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:39 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:39 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:40 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:51:40 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:09:54:17 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9563
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:18 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=13 HTTP/1.1" 200 9747
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:21 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=13&qty=4&option=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:21 +0900] "GET /movmov/pages/mypage/modal-login.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:22 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:22 +0900] "GET /movmov/pages/mypage/modal-login.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:30 +0900] "POST /movmov/pages/mypage/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:30 +0900] "GET /movmov/pages/mypage/null HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:40 +0900] "POST /movmov/pages/mypage/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:40 +0900] "GET /movmov/pages/mypage/null HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:50 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 9134
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14312
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/CGV%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 200 18084
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/IMAX%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 200 22006
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/%EB%9D%BC%EC%A7%80%EC%BD%A4%EB%B3%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%EB%B8%94%EC%BD%A4%EB%B3%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/SCREENX%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 200 12636
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/CGV%EC%BD%A4%EB%B3%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/4DX%20%EC%98%81%ED%99%94%EA%B4%80%EB%9E%8C%EA%B6%8C.jpg HTTP/1.1" 200 15351
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/%EC%8A%A4%EB%AA%B0%EC%84%B8%ED%8A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/CGV%20%ED%8F%AC%EC%8A%A4%ED%84%B0%EB%B6%81%20ver.1(%EC%A4%91%ED%98%95).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/TTT%20%EC%BD%9C%EB%A0%89%ED%8C%85%EB%B6%81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/CGV%20TTT%20%EC%BD%9C%EB%A0%89%ED%8C%85%EB%B6%81%20%EC%86%8D%EC%A7%80(10%EB%A7%A4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:52 +0900] "GET /movmov/resources/images/shop/%ED%8F%AC%ED%86%A0%EC%B9%B4%EB%93%9C%20%EB%B9%84%EB%8B%90(30%EB%A7%A4%EC%9E%85).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:54 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 10245
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:56 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14312
0:0:0:0:0:0:0:1 - - [13/May/2025:10:19:58 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=59 HTTP/1.1" 200 11389
0:0:0:0:0:0:0:1 - - [13/May/2025:10:20:00 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=59&qty=4&option=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:20:00 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=59 HTTP/1.1" 200 11389
0:0:0:0:0:0:0:1 - - [13/May/2025:10:20:01 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 11069
0:0:0:0:0:0:0:1 - - [13/May/2025:10:21:00 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 14312
0:0:0:0:0:0:0:1 - - [13/May/2025:10:21:01 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=2 HTTP/1.1" 200 11353
0:0:0:0:0:0:0:1 - - [13/May/2025:10:21:03 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=2&qty=4&option=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:21:03 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=2 HTTP/1.1" 200 11353
0:0:0:0:0:0:0:1 - - [13/May/2025:10:21:04 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 11867
0:0:0:0:0:0:0:1 - - [13/May/2025:10:21:06 +0900] "GET /movmov/pages/shop/shop-cart.jsp HTTP/1.1" 200 11867
0:0:0:0:0:0:0:1 - - [13/May/2025:10:24:16 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 500 12063
0:0:0:0:0:0:0:1 - - [13/May/2025:10:24:28 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8345
