127.0.0.1 - - [16/Apr/2025:09:09:02 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:12 +0900] "GET /bookstore/book/cart-delete.jsp?ino=10001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:12 +0900] "GET /bookstore/book/cart-list.jsp?error=deny HTTP/1.1" 200 7888
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:12 +0900] "GET /bookstore/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:23 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:23 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:26 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 11383
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:26 +0900] "GET /bookstore/resources/images/covers/cover15.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:26 +0900] "GET /bookstore/resources/images/covers/cover3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:27 +0900] "GET /bookstore/book/cart-delete.jsp?ino=10001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:09:27 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:45:48 +0900] "GET /bookstore/book/cart-list.jsp HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:45:57 +0900] "POST /bookstore/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:45:57 +0900] "GET /bookstore/index.jsp HTTP/1.1" 200 14201
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:45:59 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 15830
0:0:0:0:0:0:0:1 - - [16/Apr/2025:09:45:59 +0900] "GET /bookstore/resources/images/covers/cover14.jpeg HTTP/1.1" 304 -
