127.0.0.1 - - [21/Apr/2025:15:23:22 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:23:25 +0900] "GET /movmov/src/main/webapp/clone/index.html HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:23:25 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:23:26 +0900] "GET /movmov/src/main/webapp/clone/index.html HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:24:16 +0900] "GET /movmov/clone/index.html HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:24:16 +0900] "GET /movmov/clone/style/watcha.css HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:24:16 +0900] "GET /movmov/clone/resources/logo-primary.png HTTP/1.1" 200 55142
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:24:21 +0900] "GET /apple-touch-icon.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:24:21 +0900] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:24:21 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:25:16 +0900] "GET /movmov/html/shopmain.html HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:25:16 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:25:16 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:25:16 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:17 +0900] "GET /movmov/html/shopmain.html HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:17 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:17 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:17 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:18 +0900] "GET /movmov/html/shopmain.html HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:18 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:18 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:18 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:19 +0900] "GET /movmov/html/shopmain.html HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:19 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:19 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:19 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:27 +0900] "GET /movmov/html/shopmain.html HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:27 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:27 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:27 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:28 +0900] "GET /movmov/html/shopmain.html HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:28 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:28 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:29:28 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:04 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:04 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:04 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:04 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:17 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:17 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:17 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:17 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:32 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:32 +0900] "GET /movmov/css/watcha.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:32 +0900] "GET /movmov/resources/logo-primary.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:30:32 +0900] "GET /movmov/resources/17313091696130.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:34:54 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:34:54 +0900] "GET /movmov/clone/img/popcorn.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:34:54 +0900] "GET /movmov/clone/img/ticket.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:34:54 +0900] "GET /movmov/clone/style/watcha.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:34:56 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:34:56 +0900] "GET /movmov/clone/img/popcorn.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:34:56 +0900] "GET /movmov/clone/img/ticket.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:37:24 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:37:24 +0900] "GET /movmov/clone/style/watcha.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:37:24 +0900] "GET /movmov/clone/resources/logo-primary.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:39 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 3113
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:39 +0900] "GET /movmov/clone/style/watcha.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:39 +0900] "GET /movmov/resources/combo-image.jpg/200x200 HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:39 +0900] "GET /movmov/resources/ticket-image.jpg/200x200 HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:39 +0900] "GET /movmov/clone/resources/logo-primary.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:40 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 3113
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:40 +0900] "GET /movmov/resources/combo-image.jpg/200x200 HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:40 +0900] "GET /movmov/resources/ticket-image.jpg/200x200 HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:55 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 3097
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:55 +0900] "GET /movmov/resources/combo-image.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:55 +0900] "GET /movmov/resources/ticket-image.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:56 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 3097
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:56 +0900] "GET /movmov/resources/combo-image.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:40:56 +0900] "GET /movmov/resources/ticket-image.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:41:14 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:41:14 +0900] "GET /movmov/clone/resources/combo-image.jpg HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:41:14 +0900] "GET /movmov/clone/resources/ticket-image.jpg HTTP/1.1" 200 18084
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:44:40 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 3919
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:44:40 +0900] "GET /movmov/clone/style/watcha.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:44:40 +0900] "GET /movmov/clone/resources/logo-primary.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:44:40 +0900] "GET /movmov/clone/resources/photocard2.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:44:40 +0900] "GET /movmov/clone/resources/photocard1.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:46:24 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:46:24 +0900] "GET /movmov/clone/resources/photocard1.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:46:24 +0900] "GET /movmov/clone/resources/combo-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:46:24 +0900] "GET /movmov/clone/resources/photocard2.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:46:24 +0900] "GET /movmov/clone/resources/ticket-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:46:24 +0900] "GET /movmov/clone/resources/goods1.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/Apr/2025:15:47:24 +0900] "GET /movmov/clone/shopmain.html HTTP/1.1" 200 4200
